x,y,yerr-,yerr+,,,,,,
0.424,0.004975611,0.002486051,0.004944126,,,,,,
3.72,0.030984006,0.007178594,0.009255071,,,,,,
7.016,0.088819072,0.009526641,0.010546961,,,,,,
13.608,0.236187214,0.015243564,0.015960385,,,,,,
20.2,0.37868615,0.017953342,0.018315069,,,,,,
26.792,0.452477823,0.023308993,0.02358481,,,,,,
33.384,0.347041308,0.01706598,0.017484745,,,,,,
39.976,0.217671687,0.014934119,0.015716794,,,,,,
46.568,0.116069178,0.010328898,0.011193154,,,,,,
53.16,0.05700573,0.009606112,0.011414585,,,,,,
59.752,0.140003608,0.011993939,0.012920969,,,,,,
66.344,0.20056121,0.014275065,0.015082282,,,,,,
79.528,0.294248369,0.017941292,0.018617727,,,,,,
86.12,0.212810774,0.014382781,0.015132247,,,,,,
99.304,0.121238844,0.01141011,0.012417691,,,,,,
105.896,0.154786524,0.012245034,0.013091264,,,,,,
125.672,0.198806435,0.014345981,0.015172341,,,,,,
132.264,0.199811574,0.013636655,0.014374547,,,,,,
158.632,0.178557632,0.013019679,0.01380867,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,