x,y,yerr
0.0111335,0.977747252,2.79E-07
0.556677,0.975226289,8.44345E-05
1.11335,0.971275714,0.000162263
1.67003,0.966108968,0.000431587
2.22671,0.959048044,0.000848822
2.78338,0.949906686,0.001333287
3.34006,0.937424568,0.001599612
3.89674,0.925579169,0.001818099
4.45342,0.912794304,0.002408963
5.01009,0.895926387,0.002670049
5.56677,0.881099735,0.002604337
6.12345,0.866085517,0.003048849
6.68012,0.858137002,0.002774628
7.2368,0.843576383,0.003249531
7.79348,0.83690425,0.003284433
8.35015,0.823449685,0.00388867
8.90683,0.808971735,0.003480661
9.46351,0.799904327,0.00392636
10.0202,0.792456936,0.003720708
10.5769,0.774823611,0.003956335
11.1335,0.780080958,0.003693484
11.6902,0.753655097,0.004222411
12.2469,0.752957365,0.004191401
12.8036,0.745449337,0.003327273
13.3602,0.73244985,0.004088651
13.9169,0.735856535,0.004082451
14.4736,0.712642559,0.00451014
15.0303,0.717613959,0.004471904
15.587,0.70491972,0.003951421
16.1436,0.703564624,0.003975861
16.7003,0.687397096,0.004280141
17.257,0.688718161,0.004891089
17.8137,0.675867022,0.005218436