x,y,yerr,
0.0111335,0.999998242,7.60E-08, 
0.556677,0.997299766,9.30262E-05, 
1.11335,0.993095817,0.000173449, 
1.67003,0.987893449,0.000447688, 
2.22671,0.980864386,0.000877483, 
2.78338,0.97180328,0.001383764, 
3.34006,0.959421568,0.001663234, 
3.89674,0.947711108,0.001890642, 
4.45342,0.935475014,0.002530682, 
5.01009,0.919134441,0.002780107, 
5.56677,0.904566708,0.00268754, 
6.12345,0.890899587,0.003187781, 
6.68012,0.883338726,0.002936363, 
7.2368,0.870009851,0.003382812, 
7.79348,0.864253421,0.003500454, 
8.35015,0.851382404,0.004117873, 
8.90683,0.837627493,0.003670856, 
9.46351,0.830824153,0.00429541, 
10.0202,0.824007026,0.00403005, 
10.5769,0.807979706,0.004214481, 
11.1335,0.814345391,0.003861329, 
11.6902,0.788043182,0.004541211, 
12.2469,0.790304117,0.004599871, 
12.8036,0.784041889,0.003353774, 
13.3602,0.771852592,0.004392653, 
13.9169,0.777889423,0.004433024, 
14.4736,0.756002266,0.00499196, 
15.0303,0.762957063,0.00495042, 
15.587,0.749464409,0.004230729, 
16.1436,0.750280434,0.004427558, 
16.7003,0.735565237,0.004458709, 
17.257,0.737854913,0.005347858, 
17.8137,0.726526227,0.005896366,